"taxon","lfc_(Intercept)","lfc_SexM","se_(Intercept)","se_SexM","W_(Intercept)","W_SexM","p_(Intercept)","p_SexM","q_(Intercept)","q_SexM","diff_(Intercept)","diff_SexM","passed_ss_(Intercept)","passed_ss_SexM"
"Dubosiella",0.473615019132448,-0.78087399324601,0.137466755999496,0.573531357453751,3.44530585368716,-1.36151926672811,0.00194852348718778,0.185032529536878,0.0857350334362624,1,FALSE,FALSE,FALSE,TRUE
"Enterorhabdus",0.437557920771109,-0.69418604559259,0.0974723800529113,0.197144672241227,4.48904520986959,-3.52120114482822,0.000120167573859132,0.00154675990882935,0.00552770839752006,0.0696041958973207,TRUE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.380720737379467,-0.650042118601856,0.261935373128529,0.331946134248662,1.45349111436221,-1.95827591146131,0.158526334413638,0.0614452758129388,1,1,FALSE,FALSE,FALSE,FALSE
"Faecalibaculum",0.4683648447888,-0.869516920338507,0.483334975949511,0.800883664633218,0.969027420100725,-1.08569691047041,0.346952765777591,0.293700664257779,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII AD3011 group",-0.0219339223760633,0.328998102526404,0.085708481881166,0.185754842865263,-0.255913089284144,1.77114145425022,0.805375353981807,0.119836358385688,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",-0.125604855283464,0.444813083022624,0.168811068597201,0.24804513135686,-0.744055803492179,1.79327479878117,0.464377073768976,0.0860903986354446,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",0.0990995379345212,0.00690631885462716,0.138818448756154,0.237112669492361,0.71387873025867,0.0291267390705567,0.481428278006005,0.976977741683418,1,1,FALSE,FALSE,TRUE,TRUE
"HT002",0.353897105188177,-0.520888641885088,0.164565469232027,0.261356610414625,2.15049430989198,-1.99301881463313,0.0406291607371439,0.0564552449090481,1,1,FALSE,FALSE,TRUE,FALSE
"Incertae Sedis",0.0625537834066205,0.0826082389481352,0.132749283011676,0.22902019489053,0.471217485981588,0.360702858486437,0.641270725963762,0.721128395971035,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.0546556339876482,0.0989686913160069,0.236831220649765,0.320346345968442,0.230778838354572,0.308942781965606,0.819226416791159,0.75973644552669,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",-0.312808701032405,0.860144813857547,0.13571799353106,0.213295399844047,-2.3048432480754,4.03264587274949,0.0290966653650912,0.000405930747356688,1,0.0186728143784077,FALSE,TRUE,TRUE,TRUE
"Lachnospiraceae FCS020 group",0.270851713189547,-0.754966454391779,0.163770719176493,0.229817958694757,1.65384700361274,-3.28506291971082,0.114585657367124,0.00389416089454476,1,0.167448918465425,FALSE,FALSE,FALSE,TRUE
"Lachnospiraceae NK4A136 group",0.056089125801504,0.0959993154158775,0.12768889179272,0.206617934872181,0.439263940770623,0.464622374022201,0.66396587652722,0.64592696267875,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",0.40150614189289,-0.719264799590609,0.276684426097102,0.506224086493539,1.45113386957306,-1.4208427034216,0.159689029418428,0.168225578324337,1,1,FALSE,FALSE,TRUE,FALSE
"Lachnospiraceae UCG-006",0.0217463381980097,0.167137946880258,0.179298229240694,0.258560158883161,0.121285850340535,0.646418023574096,0.904362773227322,0.523465911892133,1,1,FALSE,FALSE,TRUE,TRUE
"Lacticaseibacillus",0.404837711744016,-0.626408469750755,0.1105617479675,0.181984812901882,3.66164355381771,-3.44209200626256,0.00107543231740636,0.00189512753965954,0.0483944542832863,0.0833856117450197,TRUE,FALSE,TRUE,TRUE
"Lactiplantibacillus",0.372165008048614,-0.558729297810279,0.145954791191437,0.206406397938356,2.5498649616817,-2.70693788269657,0.0167663907901711,0.0116297853914574,0.687422022397014,0.488450986441209,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",-0.0505816468631122,0.316960201649725,0.243931037937637,0.291987322252981,-0.207360437977736,1.08552727291053,0.83728441615459,0.287285613990724,1,1,FALSE,FALSE,TRUE,TRUE
"Limosilactobacillus",0.193135773039281,-0.187883025290948,0.181880711884896,0.23867341272558,1.06188155433166,-0.787197129103653,0.297695740943634,0.438022393005659,1,1,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",0.0288289649148505,0.156375170535797,0.211823193588678,0.30003115740969,0.136099189264567,0.521196438016161,0.89287803768399,0.607006244402605,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",-0.114039060016226,0.448407700324031,0.138748925946819,0.25852073681807,-0.821909497590888,1.73451347014994,0.418327635881001,0.0942316179037414,1,1,FALSE,FALSE,TRUE,FALSE
"NK4A214 group",0.0599123643994056,0.0941431590019985,0.0940625991717691,0.182415478261694,0.636941408455009,0.516091945152486,0.536125240014957,0.615167003111098,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",0.116980531670965,-0.0301328824565778,0.115673095167834,0.207077229826388,1.01130285742967,-0.145515190066243,0.320849068433793,0.885385035816506,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.0670873573727711,0.390702158002634,0.202749270183626,0.281289820196867,-0.330888280446145,1.38896657450736,0.743380809408095,0.176626496023483,1,1,FALSE,FALSE,TRUE,TRUE
"Romboutsia",0.137504227385385,-0.0392528629847039,0.207664799932534,0.366698360115986,0.66214508876833,-0.107044010156708,0.514755173266893,0.91572423518041,1,1,FALSE,FALSE,TRUE,FALSE
"Roseburia",0.247520872260296,-0.300537873677337,0.170018678024305,0.300599897574951,1.45584517616889,-0.999793666271631,0.156965769602226,0.326286943325379,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",0.0995597062111733,-0.012601709480361,0.313701495300155,0.4155611426486,0.317370837253781,-0.0303245616277868,0.753597709993631,0.976049003606259,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.295569545130227,-0.400067267479336,0.0895210085766791,0.210505741725261,3.30167800642078,-1.90050525083292,0.00270917739762126,0.0680934078527327,0.116494628097714,1,FALSE,FALSE,TRUE,FALSE
"Tuzzerella",0.0498606995461032,0.107712517602357,0.173641729811221,0.306734858614028,0.287146987076842,0.351158385092103,0.776464412428962,0.728533518241835,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-005",-0.0609303243618936,0.312461710654727,0.151719033531292,0.236664291081791,-0.401599739622166,1.32027400173666,0.692459876654352,0.202428634421112,1,1,FALSE,FALSE,TRUE,FALSE
"UCG-009",-0.0870775798421703,0.362230186858966,0.127994264681853,0.205876060528398,-0.680324075915538,1.75945753930434,0.502312947710264,0.0902637647453376,1,1,FALSE,FALSE,TRUE,FALSE
