"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"Bacteroides",0.087842739325766,-0.430208349474954,0.199480738674872,0.256135974000709,0.44035699842148,-1.6796092433067,0.66556971454356,0.112450889802658,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",0.128800631552101,-0.512124133927625,0.223024710520891,0.273202604005629,0.57751731299764,-1.87452142263283,0.571628248586096,0.0792350116166268,1,1,FALSE,FALSE,TRUE,FALSE
"Clostridium sensu stricto 1",-0.264650222583846,0.27477757434427,0.558891593810985,0.723180130928201,-0.473526933513603,0.37995730606093,0.642233742742782,0.708973407875412,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",0.214311454114886,-0.683145779053194,0.124654861885486,0.199762082799323,1.71923863115555,-3.41979703795674,0.104853653824435,0.0035103987383829,1,0.13339515205855,FALSE,FALSE,FALSE,TRUE
"Defluviitaleaceae UCG-011",-0.180483269068268,0.0644082495459645,0.142285190743686,0.228141665045656,-1.26846137763832,0.282316908369521,0.226877863171007,0.782145208070496,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",-1.15896642105924,2.06340997129506,0.558879853102468,0.677312140969014,-2.0737309005246,3.04646830683263,0.0546071225622976,0.00769535749064057,1,0.277032869663061,FALSE,FALSE,FALSE,TRUE
"Enterorhabdus",0.326188160917029,-0.906899192657479,0.164921091847872,0.227066995342223,1.97784381162061,-3.99397187288558,0.0654333308064758,0.00104518832397516,1,0.0438979096069568,FALSE,TRUE,FALSE,TRUE
"Erysipelatoclostridium",-0.0457632718069523,-0.155675555789263,0.155471243052399,0.245733830276923,-0.294352003035883,-0.633512917671239,0.773969303134385,0.539347466473266,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",0.318025312883023,-1.0930078884976,0.174940702093475,0.747131470418125,1.81790349002426,-1.46293916368683,0.0921881830919321,0.167238255894318,1,1,FALSE,FALSE,TRUE,FALSE
"Family XIII AD3011 group",0.12493204848297,-0.602154824785968,0.108154128673318,0.205594027963325,1.15512972103293,-2.92885367707949,0.300238004189992,0.0326761757942285,1,0.917988644379394,FALSE,FALSE,TRUE,FALSE
"Family XIII UCG-001",-0.31057088905872,0.396236456116524,0.147298149376113,0.24892627099969,-2.10845071967405,1.59178239614981,0.05496263150332,0.135447708501124,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",-0.0611071964299079,-0.132308477963606,0.152731984952111,0.290172163177223,-0.400094298840339,-0.455965439671752,0.694378018735012,0.654542559111702,1,1,FALSE,FALSE,TRUE,TRUE
"HT002",-1.93692919629977,2.36247013150171,0.130169515366924,0.297457975490932,-14.880052298266,7.94219797805937,3.77662890682599e-08,1.25463923868662e-05,1.66171671900344e-06,0.000539494872635248,TRUE,TRUE,TRUE,TRUE
"Incertae Sedis",0.0914298335195528,-0.437382537862527,0.139211231006659,0.200343589420235,0.656770526762883,-2.18316213225613,0.520663948511012,0.0442667790048139,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.0274787037151038,-0.30948027825363,0.323825343487685,0.404386856751265,0.0848565569919599,-0.765307460138321,0.933428154463197,0.455229976552405,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",-0.261102437778253,0.267682004733085,0.162605739810427,0.253450972492791,-1.60573936739662,1.05614905360325,0.127884535554182,0.306587198132899,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",0.124269768131981,-0.503062407087382,0.139876364114738,0.211430576243011,0.88842578171423,-2.37932666138686,0.387473288868892,0.0301324583592221,1,0.917988644379394,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",-0.129561765925433,-0.0548961371964332,0.428127868838759,0.55819865638253,-0.302623994735153,-0.0983451618321583,0.768377596587363,0.923601597131227,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",0.033509787734505,-0.321542446292432,0.143157347293839,0.262697758879019,0.234076618266223,-1.22400148240516,0.817894358474756,0.23867053281663,1,1,FALSE,FALSE,TRUE,TRUE
"Lacticaseibacillus",-0.163101046346239,0.0716792218690566,0.194837052739132,0.238836023455083,-0.837115138282327,0.300118972138795,0.414857035593252,0.767950564969588,1,1,FALSE,FALSE,TRUE,TRUE
"Lactiplantibacillus",-0.921714675281523,1.58890647973962,0.206628227664949,0.253620321603259,-4.46073939508448,6.26490207762281,0.000394311077665287,1.12804478843979e-05,0.0169553763396073,0.000496339706913507,TRUE,TRUE,TRUE,TRUE
"Lactobacillus",-0.385883210882821,0.517243550942221,0.23834687914032,0.284149293050837,-1.6189983786431,1.82032320189401,0.124987943715449,0.0874667337326226,1,1,FALSE,FALSE,FALSE,FALSE
"Limosilactobacillus",-0.51523761705239,0.698182489067148,0.197762698260045,0.258806671401126,-2.60533266174841,2.69769896304191,0.0207607050381561,0.0173345811720322,0.851188906564399,0.554706597505031,FALSE,FALSE,FALSE,TRUE
"Marvinbryantia",0.379289833230398,-1.07833231717221,0.223857044809091,0.274074778122208,1.69433949936158,-3.93444564494506,0.110855838608531,0.00132484413208941,1,0.0543186094156657,FALSE,FALSE,TRUE,TRUE
"Monoglobus",-0.352342051594736,0.450161232366049,0.302170789729113,0.355960733509902,-1.16603610795934,1.26463733212171,0.260687683994748,0.224112490474608,1,1,FALSE,FALSE,TRUE,TRUE
"NK4A214 group",-0.0178673213916603,-0.340715369280329,0.138676542938383,0.21732461633941,-0.128841698913703,-1.56777163590254,0.901106665844391,0.1609204715808,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",0.231969523812033,-0.718461918447488,0.170085447475431,0.253242105780152,1.3638411001949,-2.83705553716731,0.191498383027411,0.0118952646558835,1,0.416334262955921,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.200996243262347,0.0738983047519631,0.285485905695509,0.342204818025445,-0.704049619446795,0.215947587115703,0.494838040728637,0.832655751305212,1,1,FALSE,FALSE,TRUE,FALSE
"Romboutsia",-0.0500104005879791,-0.154502069647464,0.191203435000431,0.282298784154757,-0.261555973551764,-0.547299805452813,0.797000928828354,0.591725708103814,1,1,FALSE,FALSE,TRUE,TRUE
"Roseburia",-0.0732007732306207,-0.108121324362181,0.403662762076661,0.518744543826185,-0.181341407005283,-0.208428841611893,0.858376938282145,0.837524316181527,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",0.288054248738248,-0.830631368299918,0.24979512638363,0.300036602691907,1.15316200483375,-2.7684334539438,0.265780822522946,0.0137044293732303,1,0.453056105047883,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.280102463235843,-0.814727797295109,0.250240474814559,0.292850480882515,1.11933316720012,-2.7820606435062,0.279520945219266,0.0133251795602318,1,0.453056105047883,FALSE,FALSE,TRUE,TRUE
"Tuzzerella",-0.116301062455514,-0.00291197399113047,0.242259268790406,0.303880398535402,-0.480068577091816,-0.00958263186821255,0.638592750523703,0.992489496709296,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-009",0.0826156846542073,-0.419754240131837,0.131253471478054,0.231639067400091,0.629436187278451,-1.81210468874333,0.537948221742179,0.0887789289922688,1,1,FALSE,FALSE,TRUE,FALSE
