"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"Clostridium sensu stricto 1",0.416190917443619,-0.558834878461831,0.399330971563639,0.500323953696931,1.04222048145668,-1.11694607930034,0.32777844864605,0.296437351106343,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",0.278828368694224,-0.284109780963041,0.305014810873336,0.473133118431895,0.914146981570719,-0.600485930692542,0.38736137916157,0.564801820057918,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",-0.586549726316992,1.44664640905939,0.360432847528017,0.451727451805471,-1.62734814637392,3.20247619062648,0.142314253470706,0.0125655078526704,1,0.402096251285453,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",0.0264912847116488,0.220564387002108,0.246177841733763,0.370803255447322,0.107610354063867,0.594828615342194,0.916954635735995,0.568396380904549,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.023808997762227,0.215177646419657,0.217395004260533,0.474757770785901,0.109519525727894,0.453236702294431,0.91586400597659,0.664093794229249,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",-0.113864711508875,0.501276379443158,0.206790951399018,0.314375792458964,-0.550627146587109,1.59451329099581,0.596925331027861,0.149487220464082,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",-0.132557690397511,0.573360538402737,0.275978810943949,0.450412399436102,-0.480318361921027,1.27296792699437,0.645647917024356,0.243673928396167,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.27837929134059,-0.283211626255772,0.303506782681262,0.384364123509071,0.917209457005574,-0.736831584774817,0.385848917176285,0.482271396362967,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.124796644230876,-0.187243887835338,0.271583551040039,0.457264525262437,0.459514737740789,-0.409487020074153,0.665152444404573,0.699134441111482,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",-0.107270180233133,0.45846789152089,0.40581806570894,0.553902516992102,-0.264330716883533,0.827705015695797,0.799138605863633,0.43514401385572,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",0.213204295267071,-0.152861634108736,0.216938592551767,0.347964847766572,0.982786385581415,-0.439301944118451,0.354496930204864,0.672067054518639,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",0.318017579987504,-0.294079176943671,0.326501895391514,0.52329952256666,0.974014498770869,-0.561971040029393,0.367665645422655,0.594490540196781,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",0.0188192973257213,0.238730867006349,0.171145456748524,0.480414110928552,0.109960834971937,0.496927258329125,0.915526533776817,0.634464990571559,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",-0.57473919149305,1.42302533941151,0.429989953032451,0.502066538000669,-1.33663400142206,2.83433615209307,0.21810571957265,0.0220028818384888,1,0.682089336993152,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",0.112254011685294,0.0136330842355657,0.105219464065278,0.317089541176797,1.06685595372023,0.0429944304847456,0.321443639135155,0.96690667528179,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",-0.318230863369004,0.788505859333301,0.271895894780623,0.44872202011988,-1.17041437358135,1.75722568534222,0.280133486177033,0.122296606607431,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",0.427979769355782,-0.582412582286158,0.165582985707449,0.336618111503846,2.58468445611879,-1.73018789655797,0.0323795995124109,0.121847115226563,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.417461918622043,1.10847079366949,0.389288599818152,0.757048282053733,-1.07237129167679,1.46420092343703,0.314833766490889,0.181296260580546,1,1,FALSE,FALSE,TRUE,TRUE
"Romboutsia",0.032988817452912,0.207569321519583,0.221216851263793,0.320335904448449,0.1491243423114,0.647973950584696,0.885146224102087,0.535152118133344,1,1,FALSE,FALSE,TRUE,TRUE
"Roseburia",0.452198268741046,-0.630849581056686,0.468926622274524,0.655457093707048,0.964326287442719,-0.962457477557852,0.363123084551643,0.364005051273354,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",0.00417687392002367,0.265193208585359,0.312517188432724,0.483850500921622,0.0133652614148064,0.548089147536746,0.98966367918694,0.598586927319506,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",-0.184184967982796,0.641916892390999,0.222790657799781,0.450666173710508,-0.82671764517308,1.42437336067593,0.432361492754564,0.192155409040346,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-005",0.344622016114749,-0.351218034548246,0.373470642741115,0.46116537630333,0.922755303028295,-0.761588038901762,0.391730766693118,0.475165696115008,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-009",0.159755416686328,-0.142339701547898,0.252167299958171,0.35150781760703,0.633529473142742,-0.404940358131742,0.546521979654169,0.69761031774433,1,1,FALSE,FALSE,TRUE,TRUE
