"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"GCA-900066575",0.0835632983282393,-0.0060969675539027,0.234711268892834,0.315057544971548,0.35602593229724,-0.0193519172964206,0.726778890505357,0.984815439028044,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.232720883031762,-0.280756732295054,0.232249257889663,0.295160700943683,1.00203068524905,-0.951199571614455,0.330379205917515,0.354831939962103,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.66186659926938,-1.07014846282443,0.276743429203387,0.378817950345556,2.39162534472663,-2.82496767074591,0.0294050889015123,0.012196214046707,1,0.487848561868282,FALSE,FALSE,FALSE,FALSE
"Lachnoclostridium",-0.0288795713909217,0.216284131108045,0.161769448452053,0.292092279053325,-0.178523025622364,0.740465074287566,0.860422447667213,0.469122241531849,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",0.0203861011118087,0.122679353352857,0.186546619019632,0.252211551869336,0.109281536266617,0.486414489913665,0.914258805582002,0.632884558128612,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",0.201386838893156,-0.163547762302361,0.609235081319452,0.715011567415651,0.330556865597763,-0.22873442858203,0.747189782575196,0.823272162514667,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",0.129765013092154,-0.11236560770542,0.174238544437073,0.343435643724302,0.744754919248184,-0.327180971919221,0.467219001987863,0.747772554653536,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",-0.379380738203323,0.882236348051607,0.493610430179719,0.530684552393378,-0.768583309848607,1.66244964936842,0.452686526059957,0.114748876122949,1,1,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",-0.0287508020349023,0.192410928147806,0.27757229936989,0.398159006908457,-0.103579507393817,0.483251476945854,0.919083924886949,0.636954388358658,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",-0.442961786927603,0.853651364123552,0.312593884724738,0.397537861867714,-1.41705199165257,2.14734606689517,0.176902616316456,0.0485182391715713,1,1,FALSE,FALSE,TRUE,TRUE
"NK4A214 group",0.313973007208659,-0.372580381290558,0.147199200047691,0.225844540022891,2.13298039056553,-1.64972056111161,0.061721725523904,0.133398833305552,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",0.189345528472213,-0.19834355863191,0.197803243427334,0.325963053355274,0.957241778200526,-0.608484785592346,0.351861536560864,0.550910468964805,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.47511202728452,0.943437866457223,0.437995639483108,0.480692575219478,-1.08474145506383,1.96266369628543,0.296363122288691,0.0698722617420094,1,1,FALSE,FALSE,TRUE,FALSE
"Romboutsia",-0.522582866964968,1.15432039269873,0.314413919160036,0.44543751126679,-1.66208566198679,2.59143059015379,0.114822663382407,0.0190139460123429,1,0.741543894481371,FALSE,FALSE,TRUE,TRUE
"Roseburia",0.15357952384147,-0.1303881498335,0.232253281103179,0.349304015051607,0.661258790885465,-0.37327984854178,0.517308992233821,0.713554054936222,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",0.0627124373235671,0.0786564023124428,0.326982619147571,0.513444319672459,0.19179134807549,0.153193636191399,0.85031854376447,0.880160976829634,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",-0.14486967901252,0.436665335589082,0.22563448617025,0.297226717129758,-0.642054685307325,1.46913218234837,0.529401318595551,0.160059414677195,1,1,FALSE,FALSE,TRUE,TRUE
"Tuzzerella",0.461099106112247,-0.650912904718164,0.172335624977245,0.350800109569863,2.67558786045039,-1.85550941108966,0.0253889342861868,0.0965010187627448,1,1,FALSE,FALSE,FALSE,TRUE
"UCG-005",0.203499219016769,-0.29466718686959,0.185812924675873,0.300580802134734,1.09518333760554,-0.980326038046524,0.296836256511386,0.347994585822158,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-009",0.027558868748915,0.109051094842356,0.212501885990234,0.363903288143616,0.129687643102525,0.299670539935649,0.898335682037642,0.768061523814398,1,1,FALSE,FALSE,TRUE,TRUE
