"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"Lacticaseibacillus",-0.73666789733507,1.59718910634558,0.175981039077743,0.257605100415371,-4.18606402823676,6.20014550864954,0.00305416180337838,0.000259387024915616,0.128274795741892,0.0108942550464559,FALSE,TRUE,TRUE,TRUE
"Lactiplantibacillus",-1.43707436950186,2.99800205067916,0.39376459988777,0.531266243506655,-3.64957736147803,5.64312543347506,0.00649833388186429,0.000485278365169575,0.259933355274572,0.0198964129719526,FALSE,TRUE,TRUE,TRUE
"Lactobacillus",0.250727052552332,-0.377600793429229,0.254236711819955,0.454773325373424,0.986195308920972,-0.830305500260317,0.352921029848254,0.430445664420668,1,1,FALSE,FALSE,TRUE,TRUE
"Limosilactobacillus",-0.876802758777366,1.61547819037592,0.319926936745908,0.502932051196331,-2.74063437013352,3.21212017912392,0.0288917155880741,0.0148144306501266,1,0.562948364704811,FALSE,FALSE,FALSE,FALSE
"Marvinbryantia",-0.152728981303023,0.312145390922102,0.200268923549126,0.355265109314888,-0.762619474836089,0.878626644547391,0.470602982814718,0.40874859606013,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",0.00284536375375612,0.118162584167923,0.231329402614129,0.33823629624973,0.0123000523132909,0.34934921378361,0.990487433468669,0.735844743099073,1,1,FALSE,FALSE,TRUE,TRUE
"NK4A214 group",-0.0767443581773252,0.170240892441859,0.171849257724138,0.285416976145572,-0.44657951505685,0.596463793923145,0.673856470470427,0.576842173229755,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",0.152813090299975,-0.181772868924514,0.24257556241984,0.309260467355531,0.629960779130307,-0.587766262137686,0.546287706895626,0.572901992564071,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.202929300775752,0.529711913226939,0.171216391430069,0.275109525590399,-1.18522122257574,1.9254582773539,0.269940271872606,0.0903516194562057,1,1,FALSE,FALSE,TRUE,FALSE
"Romboutsia",0.0622103103742248,-0.000567309073013514,0.183360848912927,0.360723197351954,0.339278045139105,-0.00157269916982909,0.743134828315549,0.998783678105601,1,1,FALSE,FALSE,TRUE,TRUE
"Roseburia",0.316324392007614,-0.508795472339792,0.216481859557224,0.388868322899639,1.46120507581837,-1.30840040799904,0.182093802426387,0.227074975912606,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",-0.296145097430561,0.778459618409892,0.265573395330954,0.421102610038567,-1.11511583101729,1.84862216441403,0.30161515896075,0.106983170723616,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.136952097072437,-0.150050882469439,0.188377151900379,0.275957649485227,0.727010126710392,-0.543746052154541,0.487945606307168,0.601436111906583,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-005",-0.0324685651568864,0.188790441989208,0.351777913297674,0.464127259419415,-0.092298475627751,0.406764390924526,0.928730361473802,0.69484613647845,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-009",0.086251283421085,-0.168644526524509,0.158528138996729,0.324297976733826,0.544075543729588,-0.520029536486832,0.606001090669662,0.621664526290233,1,1,FALSE,FALSE,TRUE,TRUE
