"taxon","lfc_(Intercept)","lfc_TimepointBaseline","se_(Intercept)","se_TimepointBaseline","W_(Intercept)","W_TimepointBaseline","p_(Intercept)","p_TimepointBaseline","q_(Intercept)","q_TimepointBaseline","diff_(Intercept)","diff_TimepointBaseline","passed_ss_(Intercept)","passed_ss_TimepointBaseline"
"Blautia",0.00779145288317996,-0.135381901669297,0.254371544076279,0.466553762603162,0.030630206344321,-0.290174278981111,0.976167159142506,0.777611053792529,1,1,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",0.360809289045983,-0.600112301275863,0.383276965138054,0.448493053422789,0.94138005114923,-1.3380637597304,0.361424926079974,0.200807963073791,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",-0.0172195474394774,0.000843590292199962,0.144093662583517,0.280157559614697,-0.11950246201492,0.00301112807150432,0.906278163489782,0.997632524034569,1,1,FALSE,FALSE,TRUE,TRUE
"Defluviitaleaceae UCG-011",-0.030680431465434,-0.0597117012490806,0.125399692462085,0.222568330035825,-0.24466113802241,-0.268284806016513,0.818757068418685,0.801747695502659,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",-0.752825824197732,1.39849551613288,0.6287776481076,0.723345707815548,-1.19728464658926,1.93337086405923,0.247624666492833,0.0700208766650028,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",0.0997897967371986,-0.221474163643484,0.172008387693807,0.237477722886133,0.580144945692038,-0.932610271615572,0.569427329465766,0.364078546146284,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.230117001963136,-0.464807820833839,0.138469117811948,0.277061629283845,1.66186515520128,-1.67763331947222,0.147603153425207,0.144429081045867,1,1,FALSE,FALSE,TRUE,TRUE
"Faecalibaculum",0.148407678200401,-0.31384813842357,0.174990067572928,0.245197991197284,0.848092010356826,-1.27997842433811,0.408169692558437,0.217744529371465,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",-0.000417008793424359,-0.269932177993135,0.157983712518961,0.256833181897547,-0.00263956826166057,-1.0510019616578,0.9979515133833,0.320657907714777,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",0.218943778452167,-0.447866728901926,0.155867942607349,0.29032907041945,1.40467484711539,-1.54261758305799,0.178126343882842,0.141332710545699,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.330971039751599,-0.660718525370846,0.211246105339034,0.2886573607473,1.56675570051536,-2.28893704168957,0.135595960320553,0.0351542953534398,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",-0.105713376738189,0.0872263259953097,0.310196237855725,0.363477416887454,-0.340795160730986,0.239977291415379,0.738702429726082,0.814090368107765,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",0.181864826193601,-0.37741671961065,0.333136627884153,0.469034684207558,0.545916632910279,-0.804666973079617,0.59221574453021,0.432122009804067,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae FCS020 group",0.129791891907354,-0.490013709563436,0.180444299444737,0.25930479088625,0.719290619358715,-1.88972100318189,0.486962265363415,0.0854226597020541,1,1,FALSE,FALSE,FALSE,FALSE
"Lachnospiraceae NK4A136 group",0.0893110246134207,-0.201564496608307,0.167292768071973,0.256466569412244,0.53386064229027,-0.78592893050444,0.600349834716457,0.442726625953856,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",0.453804358392774,-0.837937644652166,0.480515710431347,0.699140125595571,0.944411074479553,-1.19852603787883,0.359003744077531,0.248163839848308,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",-0.209198663516429,0.31757912206043,0.278736543196298,0.381505126744265,-0.750524710960137,0.832437364002485,0.463834021193861,0.417414583006006,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",0.00561389361693551,-0.0425399477149855,0.244699645665754,0.33324349146357,0.0229419768944159,-0.12765424923426,0.981963695964405,0.899920479313437,1,1,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",0.115012864180633,-0.263133215819033,0.173751668026811,0.325589769568589,0.661938187338067,-0.808174090259925,0.51743183774866,0.430843168253691,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",-0.315463999095537,0.5534342019084,0.278123764115941,0.33153542765079,-1.13425762123667,1.66930637196136,0.273395119814225,0.11450228986768,1,1,FALSE,FALSE,TRUE,TRUE
"NK4A214 group",-0.0256048163226295,-0.0295085144738635,0.122969258031287,0.220456745367657,-0.208221280119579,-0.133851719640748,0.845228742855006,0.899984163503049,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",0.0768149093421444,-0.177821877592883,0.1450039760666,0.26860683548972,0.52974346928848,-0.662015459393208,0.603140233443372,0.516835747378363,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.621696623445319,0.868324560542837,0.0934153410598657,0.323903634308791,-6.65518764254044,2.68081141601217,2.342723078372e-05,0.020006900114998,0.00098394369291624,0.820282904714917,TRUE,FALSE,TRUE,TRUE
"Romboutsia",0.00185333300091092,0.0101128240007587,0.347983497600532,0.392501373534611,0.00532592210173845,0.025765066526237,0.99582073631165,0.979784375074119,1,1,FALSE,FALSE,TRUE,TRUE
"Roseburia",0.230815329237968,-0.470422675394946,0.253698806931324,0.341753597551586,0.909800609746064,-1.3764966302189,0.375646966100466,0.186528673972998,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",-0.233003138867518,0.400668525348764,0.449941200546553,0.496759845550991,-0.51785241845931,0.806563833484477,0.611647444402741,0.431743999839341,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.020946706291892,-0.0716722917974017,0.19575875797302,0.27000309406571,0.107002652186723,-0.265449890659249,0.916039507602246,0.793855072369037,1,1,FALSE,FALSE,TRUE,TRUE
"Tuzzerella",0.0792624771513915,-0.294584333171586,0.227930189417237,0.32324862105367,0.347748919763752,-0.911324330514855,0.733201703448782,0.377549356427601,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-005",0.337085793155956,-0.967435021697485,0.140696777870232,0.244909742299848,2.3958316477358,-3.950169611926,0.0354933708218447,0.00227203580219242,1,0.0954255036920816,FALSE,FALSE,FALSE,TRUE
"UCG-009",0.0056774158715622,-0.0426606399987759,0.169626614307135,0.246389647522123,0.0334700771736348,-0.173142988870689,0.973689572037214,0.864583849929927,1,1,FALSE,FALSE,TRUE,TRUE
