ASV_ID	arc_eval	bac_eval	euk_eval	mito_eval	eval_method
04a6ce5c30ddcc00c0f240308de12ad2	4e-40	1.2e-97	NA	NA	barrnap:0.9
04a7540c3832adf774a0f2470557d25b	2.9e-38	7.8e-106	NA	NA	barrnap:0.9
04be85ab750a7df67f08d416705a56c5	4.2e-37	8.5e-99	NA	NA	barrnap:0.9
04c2f27a4f564a261f136373150bbe44	2.9e-35	7.2e-100	NA	NA	barrnap:0.9
04e19fe2d5ab782ebf9548d3fd7ead87	4.4e-37	1.8e-98	NA	NA	barrnap:0.9
04e2e0527b000a7d342ccf4d70325501	9.2e-37	4.6e-100	NA	NA	barrnap:0.9
04fd2a342c918acabfd7ffc712f640ff	4e-41	1.5e-100	NA	NA	barrnap:0.9
050f1d4750be3a24259b31cd2b8d5d3a	6.7e-34	1e-91	NA	NA	barrnap:0.9
05222db238e6f13ff44651803988762f	1.7e-42	1.2e-104	NA	NA	barrnap:0.9
0524540a5e38ed37a6a884c7272b84a6	4.9e-38	3.9e-100	NA	NA	barrnap:0.9
0527de1581c614a73cbb2874141207f7	3.8e-40	1e-101	NA	NA	barrnap:0.9
053c7560b2be28310af0b860b60a5f71	4.5e-35	1.3e-94	NA	NA	barrnap:0.9
0575c0589a78964d91f2e539f0c907f3	4e-40	7.5e-103	NA	NA	barrnap:0.9
0593382e3fa4e83c071e2d0460aaa795	9.2e-32	1.4e-87	NA	NA	barrnap:0.9
05afb086c2f494fa20dc03ff048ef261	1.7e-36	3.6e-89	NA	NA	barrnap:0.9
05b38b7ef6a9b824b37b2f75b81aa63e	1.8e-42	6.7e-102	NA	NA	barrnap:0.9
05b9567536a233e56346fe2828a92f2d	3.7e-39	1e-94	NA	NA	barrnap:0.9
05bcf05c04a0f53f07768131a1c0102a	5.7e-43	1.5e-96	NA	NA	barrnap:0.9
05c1f6e8cd64fe904759aa389ec22779	1.8e-30	4.3e-85	NA	NA	barrnap:0.9
05c61bbfcf13a3113fcb091aa3524065	2.6e-36	2.7e-93	NA	NA	barrnap:0.9
05ce5ff0c45b9e19d0466b37abf7b389	3.9e-38	1.6e-102	NA	NA	barrnap:0.9
05dcf052ef19473f4ea2d4a8f100adad	6e-40	7.3e-101	NA	NA	barrnap:0.9
05e720d36c5159048c2a732bfe7f88d0	2e-40	1e-101	NA	NA	barrnap:0.9
05ea848dbeedbd8aa44f91d024df1fb4	1e-39	4.7e-100	NA	NA	barrnap:0.9
05fa38343ccae3944aa67e6e5bed4f1b	3.3e-43	9e-101	NA	NA	barrnap:0.9
06070bd9ce0643202e67a013a4961dc0	2.8e-41	6.7e-100	NA	NA	barrnap:0.9
060860400a073e5b099852466d3427c6	3.3e-37	6.8e-96	NA	NA	barrnap:0.9
062285a88877543a30b129b9e4c7e5c3	1.6e-36	2e-95	3.9e-07	NA	barrnap:0.9
06304a7f5ce0165e6349e31f2a6a7e51	1.6e-37	5e-102	NA	NA	barrnap:0.9
063edf0008d2ff41a6b495fba1a034ba	3.6e-38	4.3e-99	NA	NA	barrnap:0.9
0643e90a5a6966b0f2a9b3cd9f0e67d5	1e-35	3.5e-99	NA	NA	barrnap:0.9
06573a0601937f948b602c46ca17bfb2	1e-42	2.1e-106	NA	NA	barrnap:0.9
0658bbfd04d0882d51b55d8558274df8	6.1e-41	2e-101	NA	NA	barrnap:0.9
065f7e152bf4250bd9259b3aeed2043f	3.2e-28	1.4e-93	NA	NA	barrnap:0.9
066d4acd8c30a074cfd8a50843e4b9c8	1.1e-38	4.3e-102	NA	NA	barrnap:0.9
069e968d09b8b71fc59bd9366a84a76f	5.4e-41	2.3e-102	NA	NA	barrnap:0.9
06a0d9079b1ab402096b2f87d08114b8	1.6e-37	2.4e-105	NA	NA	barrnap:0.9
06d2959ba4e6db8c1cf00353319c9ca8	1.4e-37	3.9e-95	NA	NA	barrnap:0.9
06e4fd11e8377d0e351c6d7e3433dd33	5.6e-37	1.3e-97	NA	NA	barrnap:0.9
07118389a2d0d2858554765c8d1ee74f	5.2e-41	4.3e-95	NA	NA	barrnap:0.9
07161dd5f7582d23aac3cc0e165fa987	3.6e-33	7.3e-99	8.8e-08	NA	barrnap:0.9
071e52dae8f801a050f1207b23b70ba5	4.6e-38	2.5e-105	NA	NA	barrnap:0.9
072cd4e71a4178f9fdf6e7c571e35b22	7.8e-37	1.3e-99	NA	NA	barrnap:0.9
0740b8f0a3bad39ec766b0e725103b55	9.7e-38	6.2e-99	NA	NA	barrnap:0.9
074881d2ff66477c25d549fa4e653dc8	1.8e-39	6.9e-106	NA	NA	barrnap:0.9
07555016e42d5fd9687cfce3517e0264	2.9e-35	1.2e-99	NA	NA	barrnap:0.9
076af16480f42b3a50bba2ec0b87eed8	1.2e-35	2.2e-99	NA	NA	barrnap:0.9
077f6292d2d76e200c85af50fd64f921	1.3e-41	2e-100	NA	NA	barrnap:0.9
07a14aaf418392a665325812a40c3158	1.6e-34	7.9e-103	NA	NA	barrnap:0.9
07ac5e8cd15f9e6b8422d40524bae01c	9.4e-36	4.9e-105	NA	NA	barrnap:0.9
07baeefade28b545f266d7f68ed5eee5	1.1e-38	4.2e-102	NA	NA	barrnap:0.9
07d0b90dd8ded4071d9dd492a68ee01a	1.6e-37	4.6e-89	NA	NA	barrnap:0.9
07d83a3b55f7412847f1ecb64b6449b7	9.7e-40	2.5e-100	3.3e-08	NA	barrnap:0.9
07d9e7a4caa2ff38ebbd3df4ea58e416	6.1e-36	2.2e-88	NA	NA	barrnap:0.9
07e177583c8fa681a924ad0d2f314c5e	1.6e-37	6.3e-100	NA	NA	barrnap:0.9
07ea321de4a95566f41e65362f1b26cf	6.1e-33	3.1e-97	NA	NA	barrnap:0.9
07f1692669989d86ad722381dd249c77	1.3e-37	7.3e-102	NA	NA	barrnap:0.9
07fb56597b97e914d46288539c65fd7d	3e-37	1.2e-101	NA	NA	barrnap:0.9
0802283a215165034f371b7b1025ce46	2e-34	8e-88	NA	NA	barrnap:0.9
080a5ca974441914f4d772f5cb515556	2e-37	5.3e-103	NA	NA	barrnap:0.9
080c42f27730ff5d98cb1059b2330eae	3.4e-35	1.1e-94	NA	NA	barrnap:0.9
081de684e1b8ae462bd58dfe1b440903	4.6e-34	1.8e-92	NA	NA	barrnap:0.9
083914829dda5b6512bccf9630f3748e	6.2e-40	3.4e-101	NA	NA	barrnap:0.9
083b1ecf86fa7ec6c8f326d4c8eafce6	3.7e-38	6.9e-101	NA	NA	barrnap:0.9
085fb0af1c24781c6c612cfce904dadb	5e-37	2.1e-102	NA	NA	barrnap:0.9
086046d4b9b710523a3ae14c9f63971f	3.5e-39	1.5e-93	NA	NA	barrnap:0.9
0860da3924edf0580ba6069b4c5417fd	6e-35	5.9e-93	NA	NA	barrnap:0.9
08635d5071262e608e51e1551ff7345a	3.5e-30	7.1e-90	NA	NA	barrnap:0.9
08b9fe6bedcebf0983c393dbccab42fa	7.4e-39	4.1e-93	NA	NA	barrnap:0.9
08d4cd7528e22b1a0875138f53af0c6b	2.7e-36	5.2e-102	NA	NA	barrnap:0.9
08d9822bc092bc9c655ae3dbd4221b23	7.6e-37	6.2e-100	NA	NA	barrnap:0.9
08dcc027e11ca368b6a835a81518b233	3.8e-40	2.4e-97	2.2e-07	NA	barrnap:0.9
08fa08a741c20c3a8e51661d84e9facf	1.6e-39	4.7e-97	3.3e-07	NA	barrnap:0.9
09190ebb599bc4a7c4bb5aa88f3600d9	9.3e-36	1.7e-97	NA	NA	barrnap:0.9
091d6adc548d811abe7f7c95732e83de	9.5e-40	8e-101	2.7e-08	NA	barrnap:0.9
09283ec6afee8c3de915352fcda3f539	3.6e-44	4.6e-102	NA	NA	barrnap:0.9
09398656530c943521e7f7c002518fd1	9.4e-38	5.9e-102	NA	NA	barrnap:0.9
09446dc464efa74b6b28c5c4bedc93c6	9.2e-39	2.1e-100	NA	NA	barrnap:0.9
0946b3f6a9634ea469c1a32c06e75afb	4.5e-38	3e-99	NA	NA	barrnap:0.9
096161d157e865d862b8e1cc349697c1	2.4e-36	4.1e-101	NA	NA	barrnap:0.9
096b9c0a103386f7f1acc0f9ad8719f7	3.8e-43	4.8e-107	NA	NA	barrnap:0.9
0972a46ccbdbbdc92acb5047caa06188	3.5e-39	2.3e-99	NA	NA	barrnap:0.9
0990e4a1510e5a1f11e6800e9f1cd85a	3.8e-39	2.7e-102	NA	NA	barrnap:0.9
09b0eed470f769633d0b87a36e7439fa	1e-36	2.3e-104	NA	NA	barrnap:0.9
09bd5ef7d7c5aad8aa21510be7a1d1a1	4.2e-35	6.3e-91	NA	NA	barrnap:0.9
09cee4dd688ee533c94123daf458a506	1.6e-39	2.9e-101	NA	NA	barrnap:0.9
09d1815ceb1a238228f06efc5be5b803	8e-41	2.8e-93	NA	NA	barrnap:0.9
09ed1d3273659ee3c51f62897db0b5ed	1.3e-38	4.5e-104	NA	NA	barrnap:0.9
09ef32b4247af394ca045ee059647003	2.8e-32	1.5e-95	NA	NA	barrnap:0.9
0a147df98aa75c03c6174f9820db5458	2.1e-38	7.7e-103	NA	NA	barrnap:0.9
0a2b7ced34f98881d6e5e0bf5d545c50	2.5e-41	1.4e-99	NA	NA	barrnap:0.9
0a3928c306073f846fa927bd3e7880fd	5e-39	2.3e-104	NA	NA	barrnap:0.9
0a3c6264e39daba3ff98feadf00fd882	2.8e-20	7.9e-41	NA	NA	barrnap:0.9
0a40a46983864da472b589099c3c99aa	1.3e-37	3.6e-96	NA	NA	barrnap:0.9
0a498559228c7b2cd7b0d5b9fbb85f88	1.2e-35	1.2e-92	NA	NA	barrnap:0.9
0a6450bda4b79207ea4277ceb85af97c	3.6e-35	1.2e-89	NA	NA	barrnap:0.9
0a6c83206ed6a5758e77b1ff5455e30e	4.3e-38	5.6e-101	NA	NA	barrnap:0.9
0a6c8683c2bf0940ba42418ab9ba6d30	1.8e-38	6.5e-107	NA	NA	barrnap:0.9
0a739c959b63a515c0763709028b87f0	4.7e-41	4.3e-103	NA	NA	barrnap:0.9
0a74b4cccdcb124abd86d993c2b55500	4.5e-38	9.6e-93	NA	NA	barrnap:0.9
0a7e10f4a128b6f57f8529e748ffae4b	2.5e-40	2.9e-103	NA	NA	barrnap:0.9
0a918c449169d0a49a28779a0131b81c	3.3e-38	1.4e-101	NA	NA	barrnap:0.9
0a9a9a75eb9e0405633f729e047c361f	2.2e-41	2.7e-101	NA	NA	barrnap:0.9
0ac0622c787e9d522209da9d5d3f4c91	2.2e-39	1.3e-102	NA	NA	barrnap:0.9
0aea9aad1ca53b3b62805976f90b6f2c	1.4e-35	1.6e-100	NA	NA	barrnap:0.9
0aebebfc3b580f4804219e7e01a30b19	6e-41	1.1e-99	NA	NA	barrnap:0.9
0af136381feecf77d795a86335b82acc	2e-36	2.1e-98	NA	NA	barrnap:0.9
0af44586c2630168202926d2fc30235f	7.5e-42	1.1e-103	NA	NA	barrnap:0.9
0b1bf5aec7ad1bef46480367ecd62908	6.6e-38	1.8e-99	NA	NA	barrnap:0.9
0b24221c65adaac62aa04b720cb549dd	8.7e-36	1.1e-97	NA	NA	barrnap:0.9
0b3cc179a7a45846f6672094c7b6d969	2e-38	4.2e-104	NA	NA	barrnap:0.9
0b404602f10b7269e6833489a8984145	6.3e-40	3.7e-100	NA	NA	barrnap:0.9
0b54c50b240381ed454c8d55de089c4f	4.7e-36	4.4e-92	NA	NA	barrnap:0.9
0b7480ba056aad810236275de4dcda52	6.6e-37	3.3e-100	NA	NA	barrnap:0.9
0b7b9edf5d31d7c34a0ac39d029c4d0d	2.7e-37	1.5e-99	NA	NA	barrnap:0.9
0b7d8402e5495911ac4e9d54920106d7	3.3e-39	3e-105	NA	NA	barrnap:0.9
0b859166f62eaf32e9002eacea0d8243	1.1e-39	6.6e-99	4.3e-07	NA	barrnap:0.9
0ba910222eb390cd51000dddda2fa228	4.6e-35	4e-95	NA	NA	barrnap:0.9
0bbb9cdb10e25d4e867f1007c030fba1	1.3e-42	8.8e-104	NA	NA	barrnap:0.9
0bcf900b04dfda5152ddbff4722bf5a5	1.4e-41	5.2e-91	NA	NA	barrnap:0.9
0be1d74895c27eabd349287be2e5cda0	2e-36	1.5e-99	NA	NA	barrnap:0.9
0be60fb707f46b7eeb036822cbebc3d1	4e-41	4.6e-101	NA	NA	barrnap:0.9
0c06326fb7a30a29d1065665bc51f744	1.1e-40	1.9e-99	NA	NA	barrnap:0.9
0c1ddbdc31b9da7407939835e405fdb9	7.8e-38	5.7e-90	NA	NA	barrnap:0.9
0c451a725414e88ca31343d7045dfc41	7.1e-38	1.1e-96	NA	NA	barrnap:0.9
0c511e22a5fe0b0fc80f8c4799937be5	4.2e-35	3.2e-96	NA	NA	barrnap:0.9
0c5bd2ff849cc94b5e62b7ec0c516fba	2.9e-10	1.2e-32	NA	NA	barrnap:0.9
0c68ec85dec0c86ecbecf01925a198ed	5.2e-40	6.7e-106	NA	NA	barrnap:0.9
0c7127c2b4f199bec648cdfd9d364eab	1.9e-40	1.3e-102	NA	NA	barrnap:0.9
0c73695013ab40abfef78b2a7087186d	3.6e-37	1e-90	NA	NA	barrnap:0.9
0c779b9d02ac32d6b9d176ab0880ba03	6.4e-36	1.7e-102	NA	NA	barrnap:0.9
0c7e147067fc1c2414b32bfad163bc39	2.6e-37	1.3e-101	NA	NA	barrnap:0.9
0caa474a9f516dd8f5d4cccc8c654dbc	8.9e-35	2.5e-98	NA	NA	barrnap:0.9
0caf3e9ac44dc76d8bdf8ec60c1dadc9	6e-36	2.1e-87	NA	NA	barrnap:0.9
0cb8d36bee3bb41a32221c21d67c0d83	2.2e-39	7.6e-102	NA	NA	barrnap:0.9
0cdcc8924f4d7b5bcddf02291328608d	3.1e-39	5.2e-102	NA	NA	barrnap:0.9
0ce6de17efdad95d87ba4ee7732e9ac3	2.2e-38	9.2e-96	NA	NA	barrnap:0.9
0ce89372c616ef3bc2c1fc475a4fbb2f	8.7e-36	1e-94	NA	NA	barrnap:0.9
0cec9d7326e443ca72c129c8e9755315	6.7e-41	2e-99	3.5e-07	NA	barrnap:0.9
0ceded26838ec38de999421d496f4996	2.9e-35	2.2e-98	NA	NA	barrnap:0.9
0cf404f2b23db0abc6b614b9aa376d01	4.9e-39	1.4e-97	NA	NA	barrnap:0.9
0cfc66f8ae4c85e26e83c4fe6cc96904	4.9e-34	9.4e-97	NA	NA	barrnap:0.9
0d0745d5e02120b5152a11fb76d6c99b	5.6e-28	6.5e-88	NA	NA	barrnap:0.9
0d316bd9f9262f140d08ca68f0834dab	2.2e-36	2.3e-97	NA	NA	barrnap:0.9
0d3d1fd2c9172185a5808d7f810091fc	2.5e-36	4.1e-97	NA	NA	barrnap:0.9
0d3eed6b82db5dba0c262d8d256ba984	1.7e-29	9.3e-91	NA	NA	barrnap:0.9
0d72ffece368e0a494422afd46e9ea6f	2.4e-43	9.8e-100	9.4e-08	NA	barrnap:0.9
0d7c31b121ee994405a426207901adc7	9.9e-40	1.6e-103	NA	NA	barrnap:0.9
0d831350e72ac34d98c0034d9fac326f	1.5e-36	1.7e-100	NA	NA	barrnap:0.9
0d885471ee9d9507ac18418a936b063f	9.9e-42	1e-100	NA	NA	barrnap:0.9
0d912bfb6dd64ea7fb9fbe4a96482407	2.6e-37	1.2e-104	NA	NA	barrnap:0.9
0db86456fd9c050766f00e5e97052b04	4.4e-38	1.2e-94	NA	NA	barrnap:0.9
0dc260c202b4c6b093b07edb21acebe6	4.2e-44	7.9e-100	NA	NA	barrnap:0.9
0dc730c264aa9465ad446195387bea6e	2.7e-33	7.6e-94	NA	NA	barrnap:0.9
0dd4a69a0d2f0851d2b6fae72e5021bf	6.1e-37	2.4e-89	NA	NA	barrnap:0.9
0ddd63e6950d54acb2fe524c3de6babc	1.3e-41	5.8e-102	NA	NA	barrnap:0.9
0ddf795adb8e3b0be442ca973ed84c79	7.3e-36	4.5e-92	NA	NA	barrnap:0.9
0de8782dd91e90e583948fd90cb81ef2	7.7e-38	7.7e-101	NA	NA	barrnap:0.9
0deb81c1c562dbac476b2cf1471ebf48	3.4e-45	6.6e-107	NA	NA	barrnap:0.9
0e1ba7a4c6ee8f5304256d4251012d3b	2.8e-41	1.7e-99	NA	NA	barrnap:0.9
0e207c5ae8688d019edee359ac6731d3	7.5e-40	2.9e-96	NA	NA	barrnap:0.9
0e44602f1cfa26b9ea6e0d1c2a8d148c	1.6e-33	7.8e-99	NA	NA	barrnap:0.9
0e47d623c13e953fd2d59beddc87c985	2.1e-40	6e-100	NA	NA	barrnap:0.9
0e4d6901ff7b9201dd7da205b8a910ea	4.4e-39	1.3e-100	NA	NA	barrnap:0.9
0e557804cb70ceec4276d5a181cb38f5	1.2e-38	3.8e-100	NA	NA	barrnap:0.9
0e5f15bdd1ed7536cfa7b62b6e3c2635	2.8e-37	1.6e-95	NA	NA	barrnap:0.9
0e730ac38a929db823929cff46eac5e9	8.2e-36	2.4e-101	NA	NA	barrnap:0.9
0e7f33ed639e78cc2627514b81972096	2.2e-41	7e-100	NA	NA	barrnap:0.9
0e80b53a185b14dbcabd7200cc2ecfb6	6.6e-37	2.9e-97	NA	NA	barrnap:0.9
0e814ca9a3a595bbaff10b3ac1aabf81	1.7e-38	1.6e-103	NA	NA	barrnap:0.9
0e9403f75b92710f30455043c8f1fe16	3.5e-37	2e-91	NA	NA	barrnap:0.9
0e94c2c5788f9a33803d91bbbadc5898	1.7e-39	5.4e-96	NA	NA	barrnap:0.9
0e9b64bfed6d20215117acc693c4a27a	1.4e-37	4.2e-98	NA	NA	barrnap:0.9
0ec3ad561121993112efd3b5e2fa66a4	2.8e-38	9.3e-102	NA	NA	barrnap:0.9
0ed397999bd10f2855b1e1e56df9f27e	1e-39	4.7e-96	NA	NA	barrnap:0.9
0f102034a6207209fae1a6cde2118260	3.2e-34	1.1e-99	NA	NA	barrnap:0.9
0f2d61ded06e2384dd8cb4496f730c54	4.3e-34	3.3e-96	NA	NA	barrnap:0.9
0f5c220c580f89c09f820a0e74d94c1b	3.4e-37	3.6e-90	NA	NA	barrnap:0.9
0f72e4888b422e522bc2c485e22250ae	6.9e-38	4.7e-104	NA	NA	barrnap:0.9
0f9b39f58dc956922ef564a6b2984656	8.7e-36	5.3e-105	NA	NA	barrnap:0.9
0faa3b896f7d7b2c5763d8bb3c3a1816	4.8e-35	2.2e-98	NA	NA	barrnap:0.9
0fec5896536a7cf8726ed6ae6b683725	3.6e-36	8.5e-99	NA	NA	barrnap:0.9
0ff3fbf9aac5faee4da4a5eb1077c8bb	5.7e-40	1.5e-99	NA	NA	barrnap:0.9
0ff435521a642f9f3a16e112e3b7d135	7.2e-31	2.9e-93	NA	NA	barrnap:0.9
0ffe1611751658dd0a8eeba0202b82c7	3.5e-37	3.4e-99	NA	NA	barrnap:0.9
100cd1dfd46509cde1466092fd6bb7a3	4e-33	2.9e-91	NA	NA	barrnap:0.9
102017e04698897eed22d0b10063c744	4.1e-34	5.7e-102	NA	NA	barrnap:0.9
102554576c38b1abf6d85b96d6ae421e	3e-35	4.7e-98	NA	NA	barrnap:0.9
10420ffdfbef0145fc6e019b16aa6af6	4.8e-39	1.4e-93	NA	NA	barrnap:0.9
1049543a32bce583e1f1bfcd5af6f9d4	6.4e-41	2.9e-102	NA	NA	barrnap:0.9
104d5c096da29556278cebefc887383a	5.8e-41	2.5e-98	3.2e-07	NA	barrnap:0.9
1058d4dd59d8e17634b0cbbf21ef75e7	1.5e-38	2.3e-91	NA	NA	barrnap:0.9
1064397bffc8cd5dc8bb635532aa39a7	1e-42	2.6e-103	NA	NA	barrnap:0.9
10ccffcf80992f75f10f5dfb052acd55	1.2e-36	1.3e-97	NA	NA	barrnap:0.9
10e02675452311edde6d808ce2942be8	4.9e-37	1e-97	NA	NA	barrnap:0.9
10f8ba952c8bec6761a4d12553fcd1e7	1.2e-37	5.9e-100	NA	NA	barrnap:0.9
10fe6523b1170e4f7e3f73db4cf698df	6.1e-41	3.4e-103	NA	NA	barrnap:0.9
11060c2db0309496134cf84398206907	3e-39	4.8e-93	NA	NA	barrnap:0.9
112966a27753d8295116a05eb9ad95f8	2.2e-37	5.3e-97	NA	NA	barrnap:0.9
11448b6e39691f6b6b4f7d4d4b0a709b	3.5e-35	4.8e-105	NA	NA	barrnap:0.9
115e6ea89a2cd2678b4e7fdfa7d8d286	7.4e-36	4.7e-89	NA	NA	barrnap:0.9
115edd7620c31193b8a792b420c937fd	1.1e-33	1.9e-98	NA	NA	barrnap:0.9
116c3e315f1fef4f55ef2b0516c43d67	9.9e-42	6.3e-94	NA	NA	barrnap:0.9
