"taxon","lfc_(Intercept)","lfc_TreatmentVehicle","se_(Intercept)","se_TreatmentVehicle","W_(Intercept)","W_TreatmentVehicle","p_(Intercept)","p_TreatmentVehicle","q_(Intercept)","q_TreatmentVehicle","diff_(Intercept)","diff_TreatmentVehicle","passed_ss_(Intercept)","passed_ss_TreatmentVehicle"
"ASF356",0.347008181654021,-0.453169252737175,0.138883438272846,0.32194963986612,2.49855696236652,-1.40757807005351,0.021299065653097,0.174608972150693,0.830663560470784,1,FALSE,FALSE,FALSE,TRUE
"Bacteroides",-0.0412747907156719,0.332100339606689,0.107979153809974,0.191452623633735,-0.382247769678847,1.73463457070207,0.705269920780973,0.0942098062557247,1,1,FALSE,FALSE,TRUE,FALSE
"Bifidobacterium",0.210450660891004,-0.154568866832885,0.261234976661913,0.478569903058071,0.805599095420392,-0.322980751286671,0.427512284754922,0.749197889698282,1,1,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",0.362906188245671,-0.405603003747953,0.324748349138724,0.484787615592636,1.11749971695975,-0.836661232057501,0.27640299316936,0.412203004855859,1,1,FALSE,FALSE,TRUE,TRUE
"Colidextribacter",-0.110903935076747,0.466716685371435,0.117057639307983,0.209784090912159,-0.947430135550191,2.22474775538084,0.351822734150615,0.0346478576010866,1,1,FALSE,FALSE,TRUE,TRUE
"Defluviitaleaceae UCG-011",0.209569348027892,-0.112811869109872,0.0874486963514939,0.258198349643956,2.39648338707695,-0.436919404269758,0.024699260366547,0.666075795828043,0.938571893928785,1,FALSE,FALSE,FALSE,TRUE
"Dubosiella",0.0396721960742716,0.19084665573685,0.532028554896435,0.953104027683458,0.0745677947342398,0.20023696280112,0.941129365557922,0.842853257175671,1,1,FALSE,FALSE,TRUE,TRUE
"Enterorhabdus",-0.09074532243083,0.427743367589328,0.122752683143689,0.232467139476735,-0.739253270126954,1.84001647954263,0.466132103293765,0.0767842380157093,1,1,FALSE,FALSE,TRUE,FALSE
"Erysipelatoclostridium",-0.407093171468676,0.971701827244105,0.154967421942081,0.307346800390331,-2.62695969492754,3.16158107392054,0.0147741537844565,0.00421439803284286,0.590966151378259,0.181219115412243,FALSE,FALSE,FALSE,FALSE
"Faecalibaculum",0.158867844086293,-0.0966927706510879,0.611092026139587,0.857133890190111,0.259973682016273,-0.11280941257572,0.79929096862644,0.912046865821387,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII AD3011 group",0.165782631862357,0.0195965439108302,0.0531847437569687,0.177076802772736,3.11710878254696,0.110666917427806,0.00890249981602049,0.913709845057258,0.36500249245684,1,FALSE,FALSE,FALSE,FALSE
"Family XIII UCG-001",0.101871046566373,-0.0137001610433279,0.126485472794829,0.224150581003373,0.805397207405926,-0.0611203458942706,0.428838763100428,0.951791381257724,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",0.077834049022426,0.0871629507431694,0.147769219967599,0.263026361630274,0.526727075093803,0.331384847522208,0.603025849510906,0.743115691124202,1,1,FALSE,FALSE,TRUE,TRUE
"Harryflintia",-0.122617283548702,0.300476276811656,0.0652596192051215,0.180678396486427,-1.87891509393116,1.66304485015855,0.0869959528826657,0.12450257378664,1,1,FALSE,FALSE,TRUE,TRUE
"Incertae Sedis",0.225351517057893,-0.183377188755537,0.141061463164986,0.218377332800104,1.5975413270336,-0.83972629578453,0.121784084986326,0.408436127706155,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",0.40928408777456,-0.538980158807759,0.173310861954448,0.282173888034222,2.3615605113206,-1.91009934534549,0.0256683523062938,0.0667964458399375,0.94972903533287,1,FALSE,FALSE,TRUE,FALSE
"Lachnoclostridium",0.0660506557728789,0.12460447639549,0.113634386807648,0.286861493383946,0.581255882382543,0.434371567008176,0.565889266568942,0.667470341567501,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae FCS020 group",0.0365486211733057,-0.0259496966119527,0.0865657831549287,0.186566001900018,0.422206324962068,-0.139091240352888,0.682781504516048,0.892440724106955,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae NK4A136 group",0.0119628375505699,0.229174258291954,0.111026901296201,0.200408502199775,0.107747198299763,1.14353560740404,0.914992922027199,0.262854290031679,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",-0.0254267543792653,0.2857196040511,0.395081948134714,0.554446476789947,-0.0643581780927014,0.515324050222697,0.94929373687355,0.611709042653829,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",0.0695616623238747,0.117816530396898,0.138967190235679,0.285412874635522,0.500561767176142,0.412793328077272,0.620735584922462,0.683017764559358,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",0.538964833814095,-0.789696267817527,0.103845175252251,0.363671300680746,5.19008064173316,-2.17145610978737,1.82806198044936e-05,0.0388532222511965,0.000804347271397718,1,TRUE,FALSE,TRUE,TRUE
"Marvinbryantia",0.0457429640342513,0.117690557702955,0.166007286547683,0.27714965765019,0.275547929163413,0.4246462315732,0.785466874899174,0.675218736335654,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",0.184171510317318,-0.103762509057092,0.17749444806073,0.269212455352386,1.03761842879899,-0.385429823153136,0.308651569732339,0.702938935455743,1,1,FALSE,FALSE,TRUE,TRUE
"NK4A214 group",0.191749480291783,-0.0884604095575998,0.0556036660290814,0.169422166411184,3.44850428012238,-0.522130081508391,0.00432050662483512,0.610361815084157,0.18578178486791,1,FALSE,FALSE,FALSE,TRUE
"Oscillibacter",-0.0144460844336772,0.280231507461498,0.123271334752366,0.248093698683355,-0.117189324368859,1.1295389965513,0.907577427862686,0.268606123932635,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.00315289919127928,0.277566802718766,0.149741803543266,0.252913916775157,-0.0210555711008803,1.09747540292742,0.983362085682771,0.282494097993902,1,1,FALSE,FALSE,TRUE,TRUE
"Romboutsia",0.17546608216824,-0.0499939881599022,0.265421121533221,0.358923207242686,0.661085602964262,-0.139288814852529,0.51542152558994,0.890489173882758,1,1,FALSE,FALSE,TRUE,FALSE
"Roseburia",0.172104105249509,-0.0804321925926614,0.211323361385563,0.3122937796177,0.814411166475354,-0.257552976851233,0.422534741199954,0.79870476236394,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",-0.10212920680235,0.4497522107076,0.23449696596865,0.405248660550864,-0.435524640502187,1.10981788341075,0.666643687329809,0.276864523641383,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.188338718084265,-0.111819110739856,0.145728987942319,0.336407637804543,1.29239021517676,-0.332391712238186,0.207173795468553,0.742160368446765,1,1,FALSE,FALSE,TRUE,TRUE
"Tuzzerella",0.18790767847365,-0.169109019001757,0.212189975400158,0.33194340032561,0.885563411368917,-0.509451366816979,0.385881141360544,0.615747852187944,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-005",0.200700249427134,-0.217871481743524,0.119167005188866,0.283738547932653,1.68419311292625,-0.767860001155842,0.112832541220015,0.454489154037051,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-009",-0.0321433089507883,0.314446141527914,0.107885267314999,0.248851656809544,-0.29793974423716,1.26358870002851,0.768029812312468,0.217179500055538,1,1,FALSE,FALSE,TRUE,TRUE
