index,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,Bacteria;Firmicutes;Bacilli;RF39;,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;,Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales;,Bacteria;;;;,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;,Bacteria;Firmicutes;Clostridia;Oscillospirales;,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae,Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae,Bacteria;Firmicutes;;;,Bacteria;Firmicutes;Bacilli;;,Bacteria;Bacteroidota;Bacteroidia;;,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae,Bacteria;Firmicutes;Clostridia;;,Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae,;;;;,Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis,Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae,Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae,Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;,Bacteria;Firmicutes;Bacilli;Lactobacillales;,MouseID,Genotype,Sex,Injury,Treatment,Timepoint,Project
Villapol_245_B,2175.0,14.0,6843.0,2443.0,5616.0,387.0,973.0,98.0,282.0,23.0,140.0,12.0,796.0,0.0,0.0,16.0,264.0,0.0,176.0,42.0,0.0,0.0,0.0,59.0,0.0,0.0,7.0,62.0,106.0,3.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_246_B,1449.0,105.0,4411.0,5045.0,4539.0,461.0,300.0,104.0,564.0,38.0,89.0,13.0,804.0,0.0,0.0,39.0,146.0,0.0,79.0,32.0,0.0,3.0,0.0,10.0,0.0,0.0,7.0,6.0,50.0,1.0,0.0,0.0,249.0,0.0,3.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,20.0,0.0,0.0,246.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_247_B,2077.0,18.0,3413.0,3654.0,7676.0,438.0,434.0,134.0,272.0,32.0,129.0,4.0,896.0,0.0,0.0,18.0,279.0,0.0,14.0,40.0,0.0,0.0,0.0,58.0,0.0,0.0,5.0,27.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,12.0,0.0,0.0,247.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_248_B,2382.0,44.0,2502.0,5128.0,4530.0,573.0,509.0,96.0,615.0,39.0,282.0,12.0,810.0,0.0,0.0,4.0,153.0,0.0,234.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,6.0,30.0,28.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0,248.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_249_B,2053.0,0.0,9629.0,2435.0,3462.0,264.0,495.0,117.0,242.0,31.0,175.0,0.0,1113.0,23.0,0.0,10.0,164.0,0.0,175.0,19.0,0.0,0.0,0.0,48.0,0.0,99.0,12.0,29.0,295.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_250_B,2084.0,0.0,6017.0,3978.0,4347.0,344.0,478.0,107.0,385.0,14.0,50.0,9.0,797.0,21.0,0.0,5.0,168.0,0.0,15.0,13.0,0.0,3.0,0.0,44.0,0.0,178.0,11.0,13.0,151.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,250.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_251_B,1940.0,0.0,11310.0,2427.0,2882.0,272.0,786.0,110.0,267.0,19.0,65.0,3.0,1386.0,8.0,0.0,15.0,187.0,0.0,100.0,26.0,0.0,0.0,0.0,8.0,0.0,116.0,16.0,3.0,152.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,20.0,0.0,0.0,251.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_252_B,2677.0,0.0,6009.0,3100.0,3300.0,501.0,653.0,152.0,318.0,12.0,168.0,0.0,991.0,25.0,0.0,0.0,188.0,0.0,250.0,13.0,0.0,0.0,0.0,50.0,0.0,172.0,14.0,44.0,201.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.0,0.0,0.0,252.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_253_B,1177.0,0.0,12173.0,5033.0,2687.0,480.0,680.0,163.0,631.0,42.0,157.0,0.0,1753.0,17.0,0.0,9.0,182.0,0.0,23.0,29.0,2.0,0.0,0.0,28.0,0.0,101.0,7.0,30.0,141.0,4.0,0.0,0.0,74.0,0.0,3.0,0.0,25.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,WT,F,CCI,PAN,Baseline,PAN
Villapol_254_B,1773.0,12.0,3359.0,1717.0,5679.0,269.0,788.0,112.0,214.0,22.0,469.0,8.0,597.0,202.0,0.0,14.0,61.0,0.0,548.0,39.0,0.0,0.0,0.0,78.0,0.0,411.0,0.0,4.0,223.0,0.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,150.0,0.0,0.0,254.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_255_B,1899.0,11.0,4199.0,2636.0,6270.0,482.0,699.0,72.0,332.0,19.0,326.0,3.0,772.0,128.0,0.0,0.0,115.0,0.0,389.0,46.0,4.0,0.0,0.0,86.0,0.0,433.0,0.0,11.0,111.0,2.0,0.0,0.0,70.0,0.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,105.0,0.0,0.0,255.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_256_B,1474.0,50.0,1866.0,2734.0,6019.0,376.0,640.0,80.0,302.0,12.0,318.0,7.0,647.0,209.0,0.0,19.0,121.0,0.0,360.0,27.0,1.0,0.0,0.0,43.0,1.0,390.0,7.0,10.0,203.0,0.0,0.0,0.0,128.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,110.0,0.0,0.0,256.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_257_B,1748.0,19.0,2331.0,4868.0,4519.0,417.0,1027.0,43.0,466.0,26.0,230.0,20.0,815.0,241.0,0.0,3.0,57.0,0.0,122.0,88.0,0.0,0.0,0.0,65.0,0.0,463.0,4.0,14.0,52.0,0.0,0.0,0.0,31.0,4.0,23.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,42.0,0.0,0.0,257.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_258_B,1300.0,29.0,2195.0,4665.0,4429.0,602.0,471.0,31.0,289.0,24.0,308.0,8.0,836.0,0.0,0.0,62.0,93.0,0.0,311.0,67.0,0.0,0.0,0.0,72.0,0.0,25.0,0.0,10.0,76.0,0.0,0.0,0.0,194.0,0.0,3.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,36.0,0.0,0.0,258.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_259_B,1662.0,83.0,2174.0,2787.0,8577.0,341.0,798.0,38.0,425.0,24.0,258.0,0.0,1090.0,26.0,0.0,18.0,96.0,0.0,652.0,24.0,2.0,2.0,0.0,115.0,0.0,207.0,3.0,71.0,159.0,1.0,9.0,0.0,186.0,0.0,18.0,0.0,3.0,0.0,38.0,0.0,38.0,0.0,91.0,0.0,0.0,259.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_260_B,1661.0,20.0,1621.0,4413.0,5396.0,870.0,777.0,25.0,630.0,22.0,101.0,9.0,1174.0,11.0,0.0,4.0,69.0,0.0,609.0,41.0,0.0,0.0,0.0,75.0,0.0,129.0,8.0,55.0,62.0,2.0,4.0,0.0,162.0,0.0,9.0,0.0,0.0,0.0,46.0,0.0,22.0,0.0,40.0,0.0,0.0,260.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_261_B,2252.0,56.0,2612.0,2771.0,9223.0,504.0,1020.0,73.0,423.0,27.0,759.0,0.0,1165.0,11.0,0.0,1.0,176.0,0.0,962.0,20.0,0.0,4.0,0.0,126.0,0.0,170.0,8.0,58.0,249.0,0.0,4.0,0.0,291.0,0.0,31.0,0.0,0.0,0.0,4.0,0.0,607.0,0.0,145.0,0.0,0.0,261.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_262_B,1321.0,60.0,1605.0,2647.0,7170.0,324.0,350.0,58.0,310.0,19.0,128.0,0.0,764.0,7.0,0.0,50.0,81.0,0.0,218.0,13.0,0.0,0.0,0.0,112.0,0.0,174.0,8.0,42.0,172.0,0.0,5.0,0.0,154.0,0.0,5.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,106.0,0.0,0.0,262.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_263_B,1589.0,51.0,2745.0,1455.0,8945.0,203.0,401.0,94.0,149.0,19.0,238.0,0.0,804.0,22.0,0.0,4.0,69.0,0.0,503.0,11.0,2.0,5.0,0.0,115.0,0.0,152.0,10.0,28.0,220.0,0.0,5.0,0.0,134.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,102.0,0.0,0.0,263.0,WT,M,CCI,Vehicle,Baseline,PAN
Villapol_264_B,1917.0,14.0,3893.0,2347.0,7425.0,328.0,543.0,53.0,257.0,6.0,486.0,0.0,655.0,180.0,0.0,0.0,68.0,0.0,137.0,23.0,0.0,0.0,0.0,6.0,0.0,373.0,0.0,11.0,153.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,264.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_265_B,1435.0,25.0,4577.0,2966.0,10285.0,315.0,245.0,81.0,326.0,27.0,36.0,6.0,533.0,76.0,0.0,9.0,94.0,0.0,146.0,32.0,0.0,0.0,0.0,50.0,0.0,335.0,3.0,0.0,88.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_266_B,693.0,6.0,2062.0,1174.0,7583.0,143.0,89.0,53.0,150.0,0.0,80.0,0.0,304.0,44.0,0.0,0.0,31.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,106.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_267_B,1261.0,29.0,5112.0,962.0,11613.0,94.0,163.0,44.0,126.0,0.0,36.0,0.0,338.0,44.0,0.0,13.0,166.0,0.0,39.0,12.0,0.0,0.0,0.0,92.0,0.0,231.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_268_B,838.0,22.0,1748.0,1135.0,7440.0,132.0,269.0,58.0,129.0,0.0,100.0,0.0,421.0,107.0,0.0,0.0,87.0,0.0,102.0,13.0,0.0,0.0,0.0,29.0,0.0,362.0,0.0,0.0,116.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,13.0,0.0,0.0,268.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_269_B,2060.0,6.0,3807.0,4525.0,10794.0,530.0,486.0,79.0,529.0,14.0,86.0,7.0,1201.0,209.0,0.0,23.0,103.0,0.0,280.0,45.0,0.0,0.0,0.0,18.0,0.0,512.0,7.0,7.0,143.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,32.0,0.0,0.0,269.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_270_B,1673.0,21.0,3221.0,2477.0,8559.0,341.0,295.0,126.0,316.0,9.0,77.0,3.0,1228.0,241.0,0.0,5.0,120.0,0.0,100.0,25.0,0.0,0.0,0.0,21.0,0.0,489.0,10.0,7.0,409.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,92.0,0.0,0.0,270.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_271_B,1845.0,0.0,869.0,2199.0,6428.0,271.0,267.0,86.0,341.0,3.0,80.0,3.0,447.0,170.0,0.0,0.0,103.0,0.0,324.0,34.0,0.0,0.0,0.0,16.0,0.0,345.0,4.0,4.0,198.0,2.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,85.0,0.0,0.0,271.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_272_B,1989.0,19.0,4744.0,1593.0,6580.0,277.0,421.0,106.0,253.0,12.0,368.0,3.0,488.0,261.0,0.0,0.0,96.0,0.0,184.0,43.0,0.0,0.0,0.0,44.0,0.0,489.0,5.0,13.0,197.0,0.0,0.0,0.0,115.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,51.0,0.0,0.0,272.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_273_B,2179.0,12.0,2119.0,4634.0,6732.0,576.0,234.0,94.0,583.0,20.0,73.0,14.0,838.0,318.0,0.0,0.0,90.0,0.0,321.0,36.0,0.0,0.0,2.0,23.0,0.0,415.0,7.0,5.0,151.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,57.0,0.0,0.0,273.0,WT,F,CCI,Vehicle,Baseline,PAN
Villapol_274_B,1544.0,17.0,6005.0,4903.0,1881.0,494.0,551.0,89.0,583.0,46.0,169.0,5.0,828.0,50.0,0.0,35.0,119.0,0.0,435.0,15.0,0.0,1.0,0.0,123.0,0.0,752.0,12.0,13.0,433.0,0.0,14.0,0.0,50.0,0.0,11.0,0.0,104.0,0.0,32.0,0.0,0.0,0.0,131.0,0.0,0.0,274.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_275_B,2195.0,8.0,10293.0,6071.0,1617.0,689.0,335.0,107.0,495.0,67.0,247.0,10.0,893.0,0.0,0.0,69.0,189.0,0.0,558.0,21.0,0.0,0.0,0.0,244.0,0.0,669.0,3.0,6.0,617.0,1.0,10.0,0.0,31.0,0.0,9.0,0.0,55.0,0.0,37.0,0.0,0.0,0.0,70.0,0.0,0.0,275.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_276_B,2394.0,5.0,7598.0,9086.0,415.0,890.0,436.0,68.0,1186.0,83.0,137.0,17.0,1732.0,0.0,0.0,62.0,266.0,0.0,88.0,53.0,1.0,0.0,0.0,0.0,0.0,23.0,13.0,8.0,13.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,229.0,0.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0,276.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_277_B,2261.0,23.0,5901.0,4676.0,3308.0,740.0,1240.0,161.0,855.0,42.0,332.0,7.0,1069.0,308.0,0.0,5.0,119.0,0.0,127.0,66.0,4.0,1.0,0.0,116.0,0.0,1396.0,19.0,28.0,310.0,0.0,18.0,0.0,210.0,0.0,14.0,0.0,183.0,0.0,35.0,0.0,0.0,0.0,474.0,0.0,0.0,277.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_278_B,2270.0,97.0,10793.0,5887.0,1550.0,608.0,751.0,69.0,580.0,38.0,406.0,6.0,866.0,13.0,0.0,16.0,161.0,0.0,118.0,235.0,1.0,9.0,0.0,70.0,0.0,352.0,18.0,14.0,120.0,1.0,5.0,0.0,226.0,0.0,14.0,0.0,40.0,0.0,22.0,0.0,0.0,0.0,47.0,0.0,0.0,278.0,WT,M,Sham,PAN,Baseline,PAN
Villapol_279_B,1377.0,15.0,1081.0,1460.0,4320.0,312.0,289.0,44.0,409.0,19.0,76.0,5.0,291.0,242.0,0.0,16.0,118.0,0.0,625.0,17.0,1.0,0.0,0.0,58.0,0.0,718.0,7.0,7.0,74.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,49.0,0.0,0.0,279.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_280_B,1859.0,3.0,3004.0,3843.0,6598.0,435.0,189.0,126.0,463.0,24.0,28.0,4.0,612.0,223.0,0.0,6.0,109.0,0.0,347.0,19.0,0.0,0.0,0.0,65.0,0.0,531.0,10.0,5.0,73.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,0.0,13.0,0.0,0.0,0.0,52.0,0.0,0.0,280.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_281_B,3224.0,18.0,1098.0,4543.0,8074.0,460.0,731.0,97.0,776.0,42.0,59.0,0.0,1093.0,322.0,0.0,13.0,108.0,0.0,916.0,52.0,0.0,0.0,0.0,95.0,0.0,942.0,26.0,66.0,129.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,159.0,0.0,0.0,281.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_282_B,2442.0,0.0,2920.0,1726.0,8810.0,175.0,334.0,100.0,128.0,30.0,15.0,6.0,331.0,73.0,0.0,0.0,115.0,0.0,681.0,40.0,1.0,0.0,0.0,49.0,0.0,177.0,8.0,28.0,122.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,282.0,WT,F,Sham,PAN,Baseline,PAN
Villapol_283_B,1900.0,49.0,2428.0,4722.0,6832.0,463.0,396.0,86.0,673.0,30.0,96.0,9.0,580.0,692.0,0.0,43.0,144.0,0.0,276.0,31.0,0.0,0.0,0.0,42.0,0.0,1019.0,12.0,16.0,58.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,79.0,0.0,0.0,283.0,WT,F,Sham,PAN,Baseline,PAN
